stop_id,stop_city
2100,Peoria
1447,Peoria
1709,Pekin
5100,Springfield
1123,Peoria
8220,East Peoria
4130,Peoria
6700,Peoria
1458,Peoria Heights
4701,Peoria
1670,Peoria
3350,Peoria
1445,Peoria
2010,East Peoria
3400,Peoria
9320,Springfield
1464,Peoria
4210,Peoria
1344,Peoria
1348,Peoria
1322,Peoria
1737,Pekin
1810,Pekin
1408,Peoria
7160,Peoria
1503,Peoria
1527,Peoria
1378,Peoria
1280,Peoria
1323,Peoria
1428,Peoria
1657,Peoria
2471,Peoria
4760,Peoria
1319,Peoria
8410,Springfield
6201,Peoria
1426,Peoria
1121,Peoria
4710,Peoria
1736,Pekin
6270,Peoria
1253,Peoria
8480,East Peoria
2701,Peoria
6140,Peoria
5290,Springfield
2900,Long Shore Park
1429,Peoria
1010,Peoria
2450,Peoria
8380,Springfield
1581,Peoria
2006,East Peoria
2314,Grove
1625,Peoria
3240,Springfield
4350,Peoria
8570,East Peoria
1277,Peoria
4790,Peoria
5180,West Peoria
3130,Peoria
1376,Peoria
2018,East Peoria
1314,Peoria
1103,Peoria
8540,East Peoria
1413,Peoria Heights
1466,Peoria
1406,Peoria
1418,Peoria
4740,Peoria
1817,Pekin
1138,Peoria
3180,Springfield
1223,Peoria Heights
4680,Peoria
1601,Peoria
5580,West Peoria
2390,Peoria Heights
4750,Peoria
1275,Peoria Heights
6290,Peoria
2409,Peoria
0010,Peoria
2361,Peoria
1346,Peoria
1190,Peoria
6310,Peoria
2308,East Peoria
9210,East Peoria
1377,Peoria
7250,Peoria
2271,Peoria
1330,Peoria
1239,Peoria
1216,Peoria Heights
1043,Peoria
6200,Peoria
5475,Peoria
0116,Pekin
1481,Peoria
1655,Peoria
2220,Peoria
1518,Peoria
1237,Peoria
5520,West Peoria
2300,Peoria Heights
1033,Peoria
3800,Peoria
1266,Peoria Heights
1571,Peoria
2007,Springfield
8450,East Peoria
5900,Springfield
1232,Peoria
2099,East Peoria
5380,Peoria
2290,Peoria
1049,Peoria
2017,East Peoria
1633,Peoria
1531,Bellevue
7110,Peoria
9500,East Peoria
2350,Long Shore Park
3280,Peoria
1442,Peoria
7240,Peoria
1370,Peoria
4770,Peoria
1703,Springfield
1209,Peoria
3310,Peoria
5610,Peoria
1635,Peoria
1444,Peoria
2600,Peoria
2019,East Peoria
1008,Peoria
1297,Peoria
5430,Peoria
6600,Peoria
4900,Peoria
2130,Peoria
7101,Peoria
9280,East Peoria
1132,Peoria
6400,Peoria
1740,Peoria
1316,Peoria
1491,Peoria
1700,Peoria
5490,Peoria
1350,Peoria
1590,Peoria
8580,East Peoria
1005,Peoria
1381,Peoria
2303,Grove
1146,West Peoria
5650,Peoria
1291,Peoria
1471,Peoria
1047,Peoria
6230,Peoria
8520,East Peoria
3270,Peoria
2160,Peoria
2349,Peoria
2313,Wesley
1528,Bellevue
1286,Peoria
2150,Peoria
1611,Peoria
1550,Peoria
6800,Peoria
1469,Peoria
1203,Peoria
8140,East Peoria
8500,East Peoria
4360,Peoria
1048,Peoria
1131,Peoria
5250,Peoria
6160,Peoria
1639,Peoria
6240,Peoria
5220,Peoria
4300,Peoria
1704,Springfield
1041,Peoria
4081,Peoria
7201,Peoria
2180,Peoria
1807,Pekin
1276,Peoria
1235,Peoria
1629,Peoria
7420,Pottstown
8190,East Peoria
1671,Peoria
2661,Peoria
1171,Peoria
1124,Peoria
1446,Peoria
1380,Peoria
3260,Peoria
0108,Pekin
4601,Peoria
4570,Peoria
7200,Springfield
2002,East Peoria
1716,Pekin
1305,Peoria
3220,Springfield
1044,Peoria
1651,Peoria
6100,Peoria
1663,Peoria
1659,Peoria
9310,East Peoria
2711,Peoria
1467,Peoria
2330,Long Shore Park
1430,Peoria
8430,Springfield
1643,Peoria
9270,East Peoria
3500,Peoria
1632,Peoria
1311,Peoria
2011,East Peoria
1504,Bellevue
5320,Peoria
1321,Peoria
1229,Peoria
8170,East Peoria
1213,Peoria
2020,East Peoria
1443,Peoria
1111,Peoria
0110,Pekin
1612,Peoria
9516,Peoria
1030,Peoria
1490,Peoria
8101,East Peoria
2331,Peoria
1459,Peoria
4110,Peoria
1309,Peoria
1816,Pekin
1379,Peoria
1245,Peoria
1515,Peoria
1530,Bellevue
3201,Springfield
1431,Peoria
1334,Peoria
2261,Peoria
2461,Peoria
8260,East Peoria
2400,Peoria
1741,Pekin
5130,West Peoria
9550,East Peoria
7230,Springfield
7430,Maxwell
4260,Peoria
1806,Pekin
4530,Peoria
6250,Peoria
1636,Peoria
4150,Peoria
1039,Peoria
1403,Peoria
5301,Peoria
3120,Peoria
4800,Peoria
9504,Peoria
7350,Peoria
1122,Peoria
2013,East Peoria
1735,Pekin
1713,Pekin
3340,Peoria
1423,Peoria
1002,Peoria
5200,Peoria
2024,East Peoria
1114,Peoria
1241,Peoria
2302,Pekin
1526,Peoria
1313,Peoria
1421,Peoria
6350,Peoria
1436,Peoria
5600,Peoria
4480,Peoria
9110,East Peoria
2301,Springfield
1433,Peoria
1127,Peoria
1117,Peoria
1018,Peoria
1618,Peoria
8230,East Peoria
1441,Peoria
4510,Peoria
1690,Peoria
9510,Bellevue
5190,West Peoria
1399,Peoria
7330,Peoria
0190,Peoria
5330,Peoria
5480,Peoria
1422,Peoria
1007,Springfield
2240,Peoria
1119,Peoria
8700,East Peoria
6280,Peoria
5390,Peoria
4630,Peoria
1390,Peoria
1212,Peoria
8530,East Peoria
1660,Peoria
1329,Springfield
1801,Pekin
7120,Peoria
1470,Peoria
1620,Peoria
0112,Pekin
1650,Peoria
1415,Peoria
1215,Peoria Heights
1034,Peoria
7410,Pottstown
8485,East Peoria
1602,Peoria
1139,Peoria
1218,Peoria Heights
8600,East Peoria
1129,Peoria
1233,Peoria
1015,Peoria
1540,Peoria
5570,West Peoria
7380,Peoria
1845,Pekin
1342,Peoria
4200,Peoria
4610,Peoria
1351,Peoria
7301,Peoria
6260,Peoria
2012,East Peoria
1024,Peoria
1720,Pekin
1662,Peoria
1017,Peoria
1246,Peoria
2251,Peoria
1414,Peoria
1221,Peoria Heights
4501,Peoria
1645,Peoria
8201,East Peoria
1025,Springfield
3150,Peoria
1455,Peoria
1269,Peoria Heights
4700,Peoria
1448,Peoria
1040,Springfield
1461,Peoria
2190,Peoria
5240,Peoria
5510,West Peoria
2459,Peoria
1412,Peoria Heights
8310,East Peoria
1289,Peoria
4365,Peoria
1019,Peoria
1037,Peoria
3160,Springfield
1136,Peoria
3380,Peoria
0106,Pekin
1821,Peoria
2023,Washington
2340,Peoria
1281,Peoria
1278,Peoria
1401,Peoria
1207,Peoria
2101,Peoria
2305,East Peoria
4101,Peoria
5360,Peoria
2291,Peoria
3101,Peoria
1151,Peoria
5280,Springfield
8120,East Peoria
1815,Pekin
1870,Peoria
2501,Peoria
4640,Peoria
7170,Peoria
9553,East Peoria
1142,Springfield
1680,Peoria
2106,Chillicothe
4220,Peoria
1642,Peoria
1264,Peoria
3320,Peoria
3200,Springfield
1009,Peoria
1150,Peoria
1691,Peoria
1359,Peoria
1105,West Peoria
1631,Peoria
2014,East Peoria
4330,Peoria
1272,Peoria Heights
1435,Peoria
6360,Peoria
1228,Peoria Heights
1295,Peoria
1521,Peoria
1718,Pekin
1617,Peoria
4521,Peoria
1800,Peoria
1623,Peoria
1809,Pekin
1417,Peoria
1145,Peoria
1510,Bellevue
7400,Springfield
4540,Peoria
2109,Peoria
1256,Peoria
4440,Peoria
7130,Peoria
1627,Peoria
0013,Peoria
9160,East Peoria
1210,Peoria
1118,Peoria
1001,Peoria
1361,Peoria
1325,Peoria
4420,Peoria
9301,East Peoria
1603,Peoria
6019,Peoria
5450,Peoria
8490,East Peoria
1352,Peoria
4550,Peoria
1439,Peoria
9220,East Peoria
2200,Peoria
8270,Springfield
5101,West Peoria
1472,Peoria
4201,Peoria
9300,East Peoria
1514,Peoria
4340,Peoria
1234,Peoria
1345,Peoria
1109,West Peoria
1242,Peoria
1604,Peoria
1570,Peoria
1267,Peoria Heights
1324,Peoria
7390,Peoria
